STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
396,1018425,8.0,8.75,,,,,,,6.8,N1
397,1018426,9.4,8.5,7.5,6.25,7.75,,,,,
398,1018427,8.2,,7.25,,,,,,8.2,N1
399,1018428,,6.25,,,,8.5,7.75,,,
400,1018430,,4.5,,,,,,,,
401,1018431,,4.75,,,,7.75,7.0,,,
402,1018432,8.0,8.5,,,,,,,8.6,N1
403,1018433,2.8,5.5,,,,4.75,,,,
404,1018435,8.2,,,9.5,8.25,,,,,
405,1018436,8.2,9.0,,,,8.5,,,,
406,1018437,5.6,7.0,,,,6.5,,,7.6,N1
407,1018438,8.8,9.25,,,,,,,8.4,N1
408,1018439,,8.0,,,,9.75,8.5,7.0,5.8,N1
409,1018440,8.0,9.25,,,,,,,7.2,N1
410,1018441,,8.75,,,,,,,,
411,1018442,4.8,7.0,,,,,,,,
412,1018443,6.8,8.0,,,,,,,3.6,N1
413,1018445,5.2,9.5,,,,3.75,5.5,7.5,,
414,1018447,7.8,,4.0,,,,,,4.6,N1
415,1018448,,7.0,,,,7.75,8.25,,,
416,1018450,,9.75,,,,7.5,8.5,,,
417,1018451,3.8,6.0,,,,2.5,4.5,8.5,2.6,N1
418,1018452,4.8,8.25,,,,6.75,,,,
419,1018453,2.2,5.25,,,,3.25,4.0,,,
420,1018454,,6.25,,,,6.75,7.75,,,
421,1018455,,6.75,,,,6.25,7.5,,,
422,1018456,,6.25,,,,5.75,7.75,7.0,,
423,1018458,7.8,7.75,,,,,,,7.2,N1
424,1018459,4.6,7.25,,,,,,,4.2,N1
425,1018460,8.2,,5.5,9.0,8.25,,,,,
426,1018461,,9.5,,,,8.25,,,8.6,N1
427,1018462,3.4,6.5,,,,7.25,,5.25,,
428,1018463,8.0,,8.75,7.75,,,,,,
429,1018464,6.8,7.0,,,,6.5,7.25,,,
430,1018465,9.4,,3.25,9.75,8.75,,,,,
431,1018467,,2.5,,,,4.75,5.25,,,
432,1018469,6.8,8.75,,,,,,,5.4,N1
433,1018470,6.8,9.0,,,,,,,5.0,N1
434,1018472,3.2,9.0,,,,9.25,9.0,7.5,,
435,1018473,7.8,8.75,,,,7.25,,,6.4,N1
436,1018475,,8.5,,,,,,,,
437,1018476,,9.0,,,,,,,,
438,1018477,,9.0,,,,10.0,8.5,,,
439,1018478,8.6,4.25,8.5,8.75,3.0,,,,,
440,1018479,,5.75,,,,7.75,8.0,6.5,,
441,1018480,5.2,7.25,,,,8.0,7.0,8.25,7.0,N1
442,1018481,,7.0,,,,5.0,6.5,8.75,,
443,1018482,,7.0,,,,6.5,6.5,,,
444,1018483,5.4,8.25,,,,5.75,,,4.8,N1
445,1018484,7.6,7.5,,,,,8.0,9.25,7.6,N1
446,1018485,,5.75,,,,6.0,7.75,8.25,,
447,1018486,5.0,7.75,,,,6.25,6.75,8.25,,
448,1018487,7.0,,8.75,4.0,5.0,,,,7.0,N1
449,1018488,6.2,6.5,,,,,,,4.0,N1
450,1018489,8.0,7.5,,,,,,,8.4,N1
451,1018490,7.4,9.25,,,,,,,7.4,N1
452,1018491,,7.75,,,,,,,,
453,1018492,8.4,9.25,,,,6.0,8.0,7.75,7.8,N1
454,1018493,7.6,,,6.5,7.5,,,,,
455,1018494,,8.75,,,,6.5,9.75,,7.6,N1
456,1018495,7.6,8.25,,,,,,,4.6,N1
457,1018497,8.6,,,,,,,,9.2,N1
458,1018498,,7.75,,,,,,,,
459,1018499,,1.25,,,,5.0,5.75,,,
460,1018500,7.6,,6.25,3.25,,,,,7.0,N1
461,1018501,7.4,8.25,,,,,,,7.0,N1
462,1018502,,5.75,,,,3.75,6.5,,,
463,1018503,,7.0,,,,8.25,9.25,,,
464,1018504,,7.25,,,,6.5,8.0,,,
465,1018506,5.6,7.75,,,,,,,,
466,1018507,,7.5,,,,4.0,6.25,,,
467,1018508,,6.0,,,,5.5,7.75,8.25,,
468,1018509,5.6,9.5,,,,,8.25,,8.2,N1
469,1018510,9.0,,7.5,6.25,4.25,,,,6.2,N1
470,1018511,,6.25,,,,,,,,
471,1018512,7.0,8.5,,,,4.5,8.5,6.25,4.0,N4
472,1018513,7.0,8.75,,,,,,,7.4,N1
473,1018514,,9.25,,,,8.25,8.5,,,
474,1018515,7.2,8.0,,,,,,,4.0,N1
475,1018516,7.6,9.25,,,,,,,8.6,N1
476,1018517,5.6,8.0,,,,,,,6.0,N1
477,1018518,,7.25,,,,6.75,7.25,,,
478,1018519,5.4,5.75,,,,4.75,6.5,8.5,5.2,N1
479,1018520,,2.75,,,,3.75,5.75,6.5,,
480,1018521,5.2,5.5,,,,4.25,6.25,,,
481,1018522,8.0,,8.75,2.75,2.5,,,,,
482,1018523,4.8,3.5,,,,,,,,
483,1018524,8.0,8.0,,,,,,,9.2,N6
484,1018525,,7.25,,,,7.75,8.0,6.5,,
485,1018526,5.8,,2.0,,,,,,6.0,N1
486,1018527,7.2,8.75,,,,,,,9.6,N7
487,1018528,8.0,,7.5,7.0,,,,,,
488,1018529,7.0,,6.0,,,,,,,
489,1018530,,4.25,,,,5.25,6.5,7.75,,
490,1018531,,5.0,,,,4.75,5.5,,,
491,1018532,,4.0,,,,7.5,7.75,,,
